               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.040817,           0.0085304,                   0,             0.89934,             0.88925,             0.93123,             0.43382,            0.037022,           0.0060474,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.040367,           0.0084657,                   0,             0.90038,              0.9006,             0.93936,              0.4419,            0.036679,           0.0060969,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.040557,           0.0085989,                   0,             0.91056,             0.90134,             0.94164,             0.45065,            0.036293,           0.0059184,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040188,           0.0081562,                   0,             0.90164,             0.90824,             0.94016,             0.45497,            0.036416,           0.0058883,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.039355,           0.0085225,                   0,             0.92308,             0.89713,             0.94395,             0.45005,            0.035942,           0.0058488,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.038702,           0.0079806,                   0,             0.92741,             0.90663,             0.94598,             0.45389,            0.035735,           0.0058284,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.039067,           0.0082652,                   0,             0.91752,             0.90824,             0.94606,             0.45679,            0.036082,           0.0058117,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.038706,           0.0080994,                   0,             0.91614,             0.91505,             0.94487,             0.46131,              0.0354,           0.0057887,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.037894,           0.0078918,                   0,             0.92805,             0.90968,             0.95068,             0.46689,            0.035047,           0.0057621,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.037651,            0.007986,                   0,             0.93517,             0.91004,             0.94974,             0.47075,            0.034765,           0.0057161,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.038278,            0.008205,                   0,             0.93063,             0.91355,             0.95304,             0.47332,            0.034539,           0.0057014,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.037024,           0.0080963,                   0,             0.92647,               0.919,             0.95425,             0.47496,            0.034436,           0.0056791,                   0,            0.000496,            0.000496,            0.000496
